Requête,Latence (s),Taille (octets),Débit (o/s),CPU (%)
1,0.6063146591186523,118,194.61841838283522,25.15
2,1.2198171615600586,118,96.7358090364022,23.2
3,0.6677131652832031,118,176.72259008095432,23.25
4,0.6575679779052734,118,179.4491276413685,35.1
5,0.6099889278411865,118,193.44613420708163,25.8
6,0.5774490833282471,118,204.34702107393196,24.35
7,0.562232494354248,118,209.877588337417,40.9
8,0.55806565284729,118,211.4446560148537,99.3
9,0.570561408996582,118,206.81384709758188,30.65
10,0.6294779777526855,118,187.45691536545033,27.8
